State,County,"INVENTORY OF HOGS: (1,000 OR MORE HEAD)"
IOWA,UNION,"91,539"
SOUTH DAKOTA,LAKE,"91,696"
ILLINOIS,MACOUPIN,"91,700"
IOWA,DUBUQUE,"91,713"
OHIO,MARION,"91,768"
INDIANA,HANCOCK,"93,100"
IOWA,RINGGOLD,"93,658"
INDIANA,PULASKI,"93,700"
NEBRASKA,CEDAR,"94,403"
ILLINOIS,IROQUOIS,"95,430"
IOWA,CLARKE,"96,152"
MINNESOTA,GOODHUE,"96,419"
ILLINOIS,CLAY,"97,597"
MINNESOTA,LE SUEUR,"98,959"
WISCONSIN,GRANT,"99,356"
OHIO,PREBLE,"99,729"
IOWA,CASS,"100,336"
OHIO,AUGLAIZE,"100,565"
PENNSYLVANIA,PERRY,"100,567"
MISSOURI,MILLER,"101,516"
ILLINOIS,KNOX,"101,974"
INDIANA,CLINTON,"102,792"
IOWA,STORY,"102,793"
OKLAHOMA,CADDO,"104,566"
ILLINOIS,OGLE,"105,094"
KANSAS,WASHINGTON,"105,103"
OHIO,CRAWFORD,"105,228"
INDIANA,WHITLEY,"105,824"
IOWA,CERRO GORDO,"107,528"
MICHIGAN,KALAMAZOO,"108,157"
MICHIGAN,CASS,"108,778"
MINNESOTA,STEELE,"108,824"
IOWA,DAVIS,"109,797"
NEBRASKA,DAWSON,"110,945"
OHIO,VAN WERT,"111,538"
NORTH CAROLINA,NORTHAMPTON,"111,553"
IOWA,HUMBOLDT,"112,238"
ILLINOIS,STEPHENSON,"113,492"
IOWA,IOWA,"114,244"
IOWA,BENTON,"114,773"
OKLAHOMA,ELLIS,"114,794"
INDIANA,KOSCIUSKO,"115,367"
IOWA,VAN BUREN,"115,582"
TENNESSEE,HENRY,"116,750"
MISSOURI,AUDRAIN,"116,757"
SOUTH DAKOTA,BROOKINGS,"117,917"
IOWA,CLINTON,"117,960"
NEBRASKA,KNOX,"119,070"
SOUTH DAKOTA,DAVISON,"119,520"
IOWA,ALLAMAKEE,"123,900"
SOUTH DAKOTA,HUTCHINSON,"127,680"
IOWA,BOONE,"128,110"
MISSOURI,GENTRY,"128,158"
MINNESOTA,FILLMORE,"128,656"
MISSOURI,PETTIS,"129,200"
MINNESOTA,LINCOLN,"129,327"
OHIO,SHELBY,"130,297"
MISSOURI,DAVIESS,"130,332"
MICHIGAN,MECOSTA,"130,800"
IOWA,GUTHRIE,"131,678"
ILLINOIS,WASHINGTON,"133,398"
MISSOURI,SCOTLAND,"136,410"
MINNESOTA,KANDIYOHI,"136,744"
NEBRASKA,ANTELOPE,"138,674"
ILLINOIS,MCLEAN,"139,450"
NORTH CAROLINA,JOHNSTON,"143,253"
IOWA,MARSHALL,"144,886"
ILLINOIS,EFFINGHAM,"145,466"
NORTH CAROLINA,ONSLOW,"145,824"
MINNESOTA,RICE,"146,197"
IOWA,TAMA,"147,459"
MISSOURI,PUTNAM,"150,002"
IOWA,WINNESHIEK,"150,108"
OHIO,PUTNAM,"151,756"
IOWA,LINN,"155,370"
IOWA,JOHNSON,"155,814"
ILLINOIS,JASPER,"156,392"
MINNESOTA,LAC QUI PARLE,"158,662"
INDIANA,RANDOLPH,"159,860"
IOWA,WEBSTER,"160,138"
INDIANA,ADAMS,"161,316"
ILLINOIS,MONTGOMERY,"161,484"
MISSOURI,SALINE,"162,063"
MISSOURI,BARTON,"164,623"
MISSOURI,MERCER,"164,790"
IOWA,KEOKUK,"166,012"
IOWA,JASPER,"166,157"
MISSOURI,SHELBY,"166,452"
INDIANA,WABASH,"171,567"
INDIANA,DECATUR,"172,323"
INDIANA,JASPER,"172,693"
SOUTH DAKOTA,CHARLES MIX,"174,454"
MISSOURI,VERNON,"178,400"
ILLINOIS,ADAMS,"180,728"
ILLINOIS,HANCOCK,"181,834"
ILLINOIS,WOODFORD,"181,971"
IOWA,EMMET,"183,186"
IOWA,CLAY,"190,143"
ILLINOIS,LIVINGSTON,"190,940"
IOWA,WINNEBAGO,"193,677"
MINNESOTA,MURRAY,"194,506"
IOWA,SHELBY,"196,748"
NEBRASKA,CUMING,"197,499"
MINNESOTA,STEVENS,"202,528"
MISSOURI,CALLAWAY,"208,069"
MINNESOTA,YELLOW MEDICINE,"211,930"
MINNESOTA,WASECA,"214,046"
IOWA,GRUNDY,"215,748"
MINNESOTA,FREEBORN,"217,185"
IOWA,FLOYD,"217,582"
NORTH CAROLINA,COLUMBUS,"219,519"
MICHIGAN,ALLEGAN,"219,540"
MINNESOTA,JACKSON,"224,313"
INDIANA,MIAMI,"225,813"
OKLAHOMA,HUGHES,"225,925"
IOWA,BREMER,"226,500"
IOWA,AUDUBON,"227,555"
MINNESOTA,MOWER,"229,466"
IOWA,MITCHELL,"230,172"
OHIO,MERCER,"232,245"
OHIO,ALLEN,"234,719"
MINNESOTA,BROWN,"238,967"
IOWA,GREENE,"240,552"
MINNESOTA,DODGE,"241,533"
NORTH CAROLINA,LENOIR,"242,934"
IOWA,CHEROKEE,"244,212"
INDIANA,JAY,"246,000"
MINNESOTA,WATONWAN,"246,735"
MINNESOTA,RENVILLE,"251,615"
NORTH CAROLINA,PENDER,"254,216"
INDIANA,WELLS,"254,756"
NORTH CAROLINA,PITT,"258,010"
IOWA,CEDAR,"263,047"
INDIANA,CARROLL,"266,075"
IOWA,SCOTT,"273,080"
MINNESOTA,FARIBAULT,"274,674"
ILLINOIS,PIKE,"282,654"
INDIANA,WHITE,"290,488"
IOWA,POCAHONTAS,"291,015"
ILLINOIS,DE KALB,"291,115"
PENNSYLVANIA,LANCASTER,"299,106"
MINNESOTA,PIPESTONE,"300,258"
IOWA,FAYETTE,"311,826"
IOWA,BUTLER,"315,305"
IOWA,CLAYTON,"318,439"
KANSAS,NEMAHA,"323,270"
ILLINOIS,MERCER,"323,606"
IOWA,CHICKASAW,"326,993"
IOWA,LOUISA,"328,940"
NORTH CAROLINA,ROBESON,"331,337"
IOWA,MAHASKA,"331,363"
IOWA,BUCHANAN,"334,194"
IOWA,CALHOUN,"336,906"
IOWA,SAC,"337,676"
MINNESOTA,COTTONWOOD,"339,847"
IOWA,BLACK HAWK,"341,940"
NORTH CAROLINA,GREENE,"345,253"
MINNESOTA,REDWOOD,"347,554"
OHIO,DARKE,"352,418"
IOWA,HANCOCK,"358,592"
MINNESOTA,ROCK,"396,599"
MINNESOTA,NICOLLET,"400,615"
UTAH,BEAVER,"403,981"
NORTH CAROLINA,WAYNE,"414,991"
IOWA,WRIGHT,"428,948"
MINNESOTA,LYON,"437,573"
IOWA,DELAWARE,"457,206"
IOWA,CRAWFORD,"460,626"
IOWA,O BRIEN,"466,363"
IOWA,OSCEOLA,"469,791"
MINNESOTA,NOBLES,"499,370"
IOWA,HOWARD,"531,434"
IOWA,KOSSUTH,"537,666"
IOWA,BUENA VISTA,"547,853"
IOWA,FRANKLIN,"563,275"
NEBRASKA,PLATTE,"566,895"
MINNESOTA,BLUE EARTH,"664,638"
IOWA,HAMILTON,"676,560"
IOWA,CARROLL,"678,810"
NORTH CAROLINA,BLADEN,"688,811"
IOWA,PALO ALTO,"790,658"
MINNESOTA,MARTIN,"842,013"
IOWA,HARDIN,"856,750"
IOWA,PLYMOUTH,"908,929"
IOWA,LYON,"959,384"
IOWA,SIOUX,"1,428,669"
IOWA,WASHINGTON,"1,476,521"
NORTH CAROLINA,SAMPSON,"1,853,146"
NORTH CAROLINA,DUPLIN,"1,880,384"
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
